study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	experiment_title	experiment_alias	fastq_ftp	submitted_ftp	sra_ftp
PRJNA764525	SAMN21507530	SRX12262626	SRR15973837	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M008.20181021.FMT.18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/037/SRR15973837/SRR15973837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/037/SRR15973837/SRR15973837_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/037/SRR15973837
PRJNA764525	SAMN21507529	SRX12262625	SRR15973838	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M008.20181001.FMT.19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/038/SRR15973838/SRR15973838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/038/SRR15973838/SRR15973838_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/038/SRR15973838
PRJNA764525	SAMN21507528	SRX12262624	SRR15973839	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M008.20180925.FMT.14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/039/SRR15973839/SRR15973839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/039/SRR15973839/SRR15973839_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/039/SRR15973839
PRJNA764525	SAMN21507527	SRX12262623	SRR15973840	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M008.20180917.FMT.21	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/040/SRR15973840/SRR15973840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/040/SRR15973840/SRR15973840_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/040/SRR15973840
PRJNA764525	SAMN21507526	SRX12262622	SRR15973841	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M008.20180916.FMT.20	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/041/SRR15973841/SRR15973841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/041/SRR15973841/SRR15973841_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/041/SRR15973841
PRJNA764525	SAMN21507566	SRX12262621	SRR15973842	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: FMT capsule	Capsule_EZ01.64	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/042/SRR15973842/SRR15973842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/042/SRR15973842/SRR15973842_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/042/SRR15973842
PRJNA764525	SAMN21507565	SRX12262620	SRR15973843	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: FMT capsule	Capsule_ELK07.65	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/043/SRR15973843/SRR15973843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/043/SRR15973843/SRR15973843_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/043/SRR15973843
PRJNA764525	SAMN21507564	SRX12262619	SRR15973844	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: FMT capsule	Capsule_ELK06.22.round2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/044/SRR15973844/SRR15973844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/044/SRR15973844/SRR15973844_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/044/SRR15973844
PRJNA764525	SAMN21507563	SRX12262618	SRR15973845	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: FMT capsule	Capsule_ELK06.22.round1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/045/SRR15973845/SRR15973845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/045/SRR15973845/SRR15973845_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/045/SRR15973845
PRJNA764525	SAMN21507562	SRX12262617	SRR15973846	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: FMT capsule	Capsule_ARK05.26	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/046/SRR15973846/SRR15973846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/046/SRR15973846/SRR15973846_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/046/SRR15973846
